Command: ./simv_simple_fsm -cm line+cond+fsm+branch+tgl -cm_name simv_simple_fsm -cm_dir ./simv_simple_fsm.vdb +vpdfile+simv_simple_fsm.vpd -l simv_simple_fsm.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06_Full64; Runtime version L-2016.06_Full64;  Jun  6 20:34 2021
*Verdi3* Loading libsscore_vcs201606.so
*Verdi3* : FSDB_GATE is set.
*Verdi3* : FSDB_RTL is set.
*Verdi3* : Enable Parallel Dumping.
FSDB Dumper for VCS, Release Verdi3_L-2016.06-1, Linux x86_64/64bit, 07/10/2016
(C) 1996 - 2016 by Synopsys, Inc.
*Verdi3* : Create FSDB file 'simple_fsm.fsdb'
*Verdi3* : Begin traversing the scope (tb_simple_fsm), layer (0).
*Verdi3* : End of traversing.
@time    0ns: pi_money=0 state=001 po_cola=0
@time   40ns: pi_money=1 state=001 po_cola=0
@time   60ns: pi_money=1 state=010 po_cola=0
@time   80ns: pi_money=1 state=100 po_cola=0
@time  100ns: pi_money=1 state=001 po_cola=1
@time  120ns: pi_money=1 state=010 po_cola=0
@time  140ns: pi_money=1 state=100 po_cola=0
@time  160ns: pi_money=0 state=001 po_cola=1
@time  180ns: pi_money=1 state=001 po_cola=0
@time  200ns: pi_money=1 state=010 po_cola=0
@time  220ns: pi_money=0 state=100 po_cola=0
@time  240ns: pi_money=1 state=100 po_cola=0
@time  260ns: pi_money=1 state=001 po_cola=1
@time  280ns: pi_money=0 state=010 po_cola=0
@time  300ns: pi_money=1 state=010 po_cola=0
@time  320ns: pi_money=0 state=100 po_cola=0
@time  340ns: pi_money=1 state=100 po_cola=0
@time  360ns: pi_money=0 state=001 po_cola=1
@time  380ns: pi_money=1 state=001 po_cola=0
@time  400ns: pi_money=1 state=010 po_cola=0
@time  420ns: pi_money=0 state=100 po_cola=0
@time  440ns: pi_money=1 state=100 po_cola=0
@time  460ns: pi_money=0 state=001 po_cola=1
@time  480ns: pi_money=0 state=001 po_cola=0
@time  520ns: pi_money=1 state=001 po_cola=0
@time  540ns: pi_money=0 state=010 po_cola=0
@time  560ns: pi_money=1 state=010 po_cola=0
@time  580ns: pi_money=1 state=100 po_cola=0
@time  600ns: pi_money=1 state=001 po_cola=1
@time  620ns: pi_money=1 state=010 po_cola=0
@time  640ns: pi_money=0 state=100 po_cola=0
@time  720ns: pi_money=1 state=100 po_cola=0
@time  740ns: pi_money=0 state=001 po_cola=1
@time  760ns: pi_money=1 state=001 po_cola=0
@time  780ns: pi_money=1 state=010 po_cola=0
@time  800ns: pi_money=1 state=100 po_cola=0
@time  820ns: pi_money=1 state=001 po_cola=1
@time  840ns: pi_money=1 state=010 po_cola=0
@time  860ns: pi_money=0 state=100 po_cola=0
@time  900ns: pi_money=1 state=100 po_cola=0
@time  920ns: pi_money=1 state=001 po_cola=1
@time  940ns: pi_money=1 state=010 po_cola=0
@time  960ns: pi_money=0 state=100 po_cola=0
@time 1060ns: pi_money=1 state=100 po_cola=0
@time 1080ns: pi_money=0 state=001 po_cola=1
@time 1100ns: pi_money=0 state=001 po_cola=0
@time 1120ns: pi_money=1 state=001 po_cola=0
@time 1140ns: pi_money=1 state=010 po_cola=0
@time 1160ns: pi_money=0 state=100 po_cola=0
@time 1260ns: pi_money=1 state=100 po_cola=0
@time 1280ns: pi_money=1 state=001 po_cola=1
@time 1300ns: pi_money=1 state=010 po_cola=0
@time 1320ns: pi_money=1 state=100 po_cola=0
@time 1340ns: pi_money=1 state=001 po_cola=1
@time 1360ns: pi_money=0 state=010 po_cola=0
@time 1400ns: pi_money=1 state=010 po_cola=0
@time 1420ns: pi_money=1 state=100 po_cola=0
@time 1440ns: pi_money=1 state=001 po_cola=1
@time 1460ns: pi_money=0 state=010 po_cola=0
@time 1500ns: pi_money=1 state=010 po_cola=0
@time 1520ns: pi_money=1 state=100 po_cola=0
@time 1540ns: pi_money=0 state=001 po_cola=1
@time 1560ns: pi_money=1 state=001 po_cola=0
@time 1580ns: pi_money=1 state=010 po_cola=0
@time 1600ns: pi_money=0 state=100 po_cola=0
@time 1620ns: pi_money=1 state=100 po_cola=0
